fw_taxon_id	canonical_name	rank	gbif_taxon_id	inat_taxon_id	worms_aphia_id	wikidata_qid	merged_into	created_on
42979	Trimma caesiura	species	2378592	516674				2026-09-13
42980	Trimma cana	species	2378622	196721				2026-09-13
42981	Trimma capostriatum	species	8478412	614996				2026-09-13
42982	Trimma caudipunctatum	species	2378560	614997				2026-09-13
42983	Trimma caudomaculatum	species		786274				2026-09-13
42984	Trimma cavicapum	species		1596866				2026-09-13
42985	Trimma cheni	species	6168364	614998				2026-09-13
42986	Trimma chledophilum	species	8913535	786275				2026-09-13
42987	Trimma citrum	species	12253037	1416221				2026-09-13
42988	Trimma corallinum	species	2378572	614999				2026-09-13
42989	Trimma corerefum	species	8869911	615000				2026-09-13
42990	Trimma dalerocheila	species	2378589	615001				2026-09-13
42991	Trimma emeryi	species	2378608	530118				2026-09-13
42992	Trimma erdmanni	species	6168370	196647				2026-09-13
42993	Trimma erwani	species	8769994	786276				2026-09-13
42994	Trimma fangi	species	2378543	530119				2026-09-13
42995	Trimma fasciatum	species	7802948	615002				2026-09-13
42996	Trimma filamentosus	species	2378552	1315233				2026-09-13
42997	Trimma finistrinum	species	9260044	547942				2026-09-13
42998	Trimma fishelsoni	species	2378597	615004				2026-09-13
42999	Trimma flammeum	species	2378591	495523				2026-09-13
43000	Trimma flavatrum	species	2378607	530120				2026-09-13
43001	Trimma flavicaudatum	species	2378540	615005				2026-09-13
43002	Trimma fraena	species	2378590	114416				2026-09-13
43003	Trimma fucatum	species	2378624	615006				2026-09-13
43004	Trimma gigantum	species	2378598	615007				2026-09-13
43005	Trimma grammistes	species	2378561	615008				2026-09-13
43006	Trimma griffithsi	species	2378546	196648				2026-09-13
43007	Trimma habrum	species	6168371	615009				2026-09-13
43008	Trimma haima	species	2378550	615010				2026-09-13
43009	Trimma haimassum	species	6168366	487210				2026-09-13
43010	Trimma halonevum	species	2378621	508864				2026-09-13
43011	Trimma hamartium	species	9521279	786277				2026-09-13
43012	Trimma hayashii	species	2378566	474313				2026-09-13
43013	Trimma helenae	species	7848426	615011				2026-09-13
43014	Trimma hoesei	species	2378620	530121				2026-09-13
43015	Trimma hollemani	species	9173877	615012				2026-09-13
43016	Trimma hotsarihiense	species	11220995	1314902				2026-09-13
43017	Trimma imaii	species	2378596	615014				2026-09-13
43018	Trimma insularum	species	7350593	615015				2026-09-13
43019	Trimma irinae	species	7450932	615016				2026-09-13
43020	Trimma kalum	species	11136639	1272445				2026-09-13
43021	Trimma kardium	species	8273788	615017				2026-09-13
43022	Trimma kitrinum	species	8255578	530122				2026-09-13
43023	Trimma kudoi	species	2378544	615018				2026-09-13
43024	Trimma lantana	species	2378618	487153				2026-09-13
43025	Trimma longispinum	species	12185736	1545513				2026-09-13
43026	Trimma luteum	species		1314560				2026-09-13
43027	Trimma macrophthalmus	species		1315350				2026-09-13
43028	Trimma maiandros	species	5962139	615019				2026-09-13
43029	Trimma marinae	species	2378548	196649				2026-09-13
43030	Trimma matsunoi	species	8577963	615020				2026-09-13
43031	Trimma meityae	species	10107901	871119				2026-09-13
43032	Trimma mendelssohni	species	2378580	615021				2026-09-13
43033	Trimma meranyx	species	7650582	615022				2026-09-13
43034	Trimma meristum	species	8687688	530124				2026-09-13
43035	Trimma milta	species	2378579	495398				2026-09-13
43036	Trimma multiclitellum	species	8891834	786279				2026-09-13
43037	Trimma nasa	species	2378626	424868				2026-09-13
43038	Trimma nauagium	species	9041514	786280				2026-09-13
43039	Trimma naudei	species	2378587	424797				2026-09-13
43040	Trimma necopinum	species		530125				2026-09-13
43041	Trimma nomurai	species	2378551	615024				2026-09-13
43042	Trimma novemstriatum	species		1672397				2026-09-13
43043	Trimma nubarum	species		1545399				2026-09-13
43044	Trimma okinawae	species	2378614	514173				2026-09-13
43045	Trimma omanense	species	11156520	1315088				2026-09-13
43046	Trimma pajama	species	7739502	615026				2026-09-13
43047	Trimma panemorfum	species	12263812	1366881				2026-09-13
43048	Trimma papayum	species	6168367	615027				2026-09-13
43049	Trimma pentherum	species	8515396	615028				2026-09-13
43050	Trimma preclarum	species	2378604	615029				2026-09-13
43051	Trimma putrai	species	10064325	1015333				2026-09-13
43052	Trimma quadrimaculatum	species	8630178	786281				2026-09-13
43053	Trimma randalli	species	2378585	615030				2026-09-13
43054	Trimma readerae	species	8554620	615031				2026-09-13
43055	Trimma rubromaculatum	species	2378606	615032				2026-09-13
43056	Trimma sanguinellum	species		1314938				2026-09-13
43057	Trimma sheppardi	species	2378568	615034				2026-09-13
43058	Trimma sostra	species	2378547	615035				2026-09-13
43059	Trimma squamicana	species	2378628	615036				2026-09-13
43060	Trimma stobbsi	species	2378586	474405				2026-09-13
43061	Trimma striatum	species	2378601	530126				2026-09-13
43062	Trimma tauroculum	species	2378565	542789				2026-09-13
43063	Trimma taylori	species	2378588	146670				2026-09-13
43064	Trimma tevegae	species	2378629	196650				2026-09-13
43065	Trimma tigrinum	species		1601629				2026-09-13
43066	Trimma trioculatum	species	8162815	615037				2026-09-13
43067	Trimma ukkriti	species	10831238	1246799				2026-09-13
43068	Trimma unisquame	species	8644718	786282				2026-09-13
43069	Trimma volcana	species	2378603	615038				2026-09-13
43070	Trimma wangunui	species	10475417	1015334				2026-09-13
43071	Trimma winchi	species	2378619	615039				2026-09-13
43072	Trimma winterbottomi	species	2378563	615040				2026-09-13
43073	Trimma woutsi	species	2378567	615041				2026-09-13
43074	Trimma xanthochrum	species	6168369	196651				2026-09-13
43075	Trimma xanthum	species	8441857	528590				2026-09-13
43076	Trimma yanagitai	species	2378576	615042				2026-09-13
43077	Trimma yanoi	species	2378616	615043				2026-09-13
43078	Trimma yoshinoi	species	8802937	623899				2026-09-13
43079	Trimma zurae	species	8178993	615044				2026-09-13
43080	Trimmatom	genus	2377151	92642				2026-09-13
43081	Trimmatom eviotops	species	2378610	530127				2026-09-13
43082	Trimmatom macropodus	species	2377153	530128				2026-09-13
43083	Trimmatom nanus	species	2377154	530129				2026-09-13
43084	Trimmatom offucius	species	2377156	615045				2026-09-13
43085	Trimmatom pharus	species	2377152	530130				2026-09-13
43086	Trimmatom sagma	species	2377155	615046				2026-09-13
43087	Trimmatom zapotes	species	2377157	530131				2026-09-13
43088	Trinectes	genus	2408245	56049				2026-09-13
43089	Trinectes fimbriatus	species	2408262	114419				2026-09-13
43090	Trinectes fluviatilis	species	2408258	114420				2026-09-13
43091	Trinectes fonsecensis	species	2408246	114421				2026-09-13
43092	Trinectes hubbsbollinger	species	7672579	607850				2026-09-13
43093	Trinectes inscriptus	species	2408248	607851				2026-09-13
43094	Trinectes maculatus	species	2408252	56047				2026-09-13
43095	Trinectes microphthalmus	species	2408250	607852				2026-09-13
43096	Trinectes opercularis	species	2408260	114422				2026-09-13
43097	Trinectes paulistanus	species	2408264	317431				2026-09-13
43098	Trinectes xanthurus	species	2408268	114423				2026-09-13
43099	Trinorfolkia	genus	2392716	92644				2026-09-13
43100	Trinorfolkia clarkei	species	2392721	446585				2026-09-13
43101	Trinorfolkia cristata	species	2392719	446586				2026-09-13
43102	Trinorfolkia incisa	species	2392717	446587				2026-09-13
43103	Triodon	genus	2406569	196844				2026-09-13
43104	Triodon macropterus	species	5213390	196843				2026-09-13
43105	Triodontidae	family	5894	86116				2026-09-13
43106	Triphoturus	genus	2405670	92646				2026-09-13
43107	Triphoturus mexicanus	species	2405678	317432				2026-09-13
43108	Triphoturus microchir	species		1316929				2026-09-13
43109	Triphoturus nigrescens	species	2405672	317522				2026-09-13
43110	Triphoturus oculeus	species		1630730				2026-09-13
43111	Triplophos	genus	2347411	92648				2026-09-13
43112	Triplophos hemingi	species	2347412	615097				2026-09-13
43113	Triplophysa	genus	2357225	49218				2026-09-13
43114	Triplophysa akhtari	species	12188456	1316305				2026-09-13
43115	Triplophysa alexandrae	species	2357426	618037				2026-09-13
43116	Triplophysa aliensis	species	2357302	128489				2026-09-13
43117	Triplophysa alticeps	species	2357305	618038				2026-09-13
43118	Triplophysa altipinnis	species	4286890	618039				2026-09-13
43119	Triplophysa aluensis	species	2357251	618040				2026-09-13
43120	Triplophysa angeli	species	2357319	618041				2026-09-13
43121	Triplophysa anlongensis	species		1545353				2026-09-13
43122	Triplophysa anshuiensis	species	9670284	1229363				2026-09-13
43123	Triplophysa anterodorsalis	species	2357291	618042				2026-09-13
43124	Triplophysa aquaecaeruleae	species	2357283	618043				2026-09-13
43125	Triplophysa arnoldii	species	2357479	618044				2026-09-13
43126	Triplophysa baotianensis	species	11144372	1314170				2026-09-13
43127	Triplophysa bashanensis	species	5962886	618045				2026-09-13
43128	Triplophysa bellibarus	species	11184121	1316486				2026-09-13
43129	Triplophysa bleekeri	species	2357284	128353				2026-09-13
43130	Triplophysa bombifrons	species	2357246	618046				2026-09-13
43131	Triplophysa brachyptera	species	6167639	618047				2026-09-13
43132	Triplophysa brahui	species	2357397	618048				2026-09-13
43133	Triplophysa brevibarba	species	7193598	618049				2026-09-13
43134	Triplophysa brevicauda	species	2357276	618050				2026-09-13
43135	Triplophysa cakaensis	species	2357295	618051				2026-09-13
43136	Triplophysa cehengensis	species		1545352				2026-09-13
43137	Triplophysa chandagaitensis	species	2357362	618052				2026-09-13
43138	Triplophysa chondrostoma	species	2357227	618053				2026-09-13
43139	Triplophysa choprai	species	2357296	128483				2026-09-13
43140	Triplophysa coniptera	species	2357287	618054				2026-09-13
43141	Triplophysa crassicauda	species	6167647	618055				2026-09-13
43142	Triplophysa crassilabris	species	2357387	618056				2026-09-13
43143	Triplophysa cuneicephala	species	2357481	618057				2026-09-13
43144	Triplophysa dalaica	species	2357272	114438				2026-09-13
43145	Triplophysa daochengensis	species	10836046	871161				2026-09-13
43146	Triplophysa daqiaoensis	species	2357253	618058				2026-09-13
43147	Triplophysa daryoae	species	11424494	1439679				2026-09-13
43148	Triplophysa dorsalis	species	2357453	618060				2026-09-13
43149	Triplophysa dorsonotata	species		1315728				2026-09-13
43150	Triplophysa drassensis	species		1315149				2026-09-13
43151	Triplophysa edsinica	species	2357354	618061				2026-09-13
43152	Triplophysa elegans	species		1315551				2026-09-13
43153	Triplophysa erythraea	species	11162364	1313918				2026-09-13
43154	Triplophysa eugeniae	species	2357266	618062				2026-09-13
43155	Triplophysa farwelli	species	2357313	618063				2026-09-13
43156	Triplophysa fengshanensis	species	7659535	618064				2026-09-13
43157	Triplophysa ferganaensis	species	11150164	1313248				2026-09-13
43158	Triplophysa flavicorpus	species	2357226	618065				2026-09-13
43159	Triplophysa furva	species	2357430	618066				2026-09-13
43160	Triplophysa fuxianensis	species	2357487	618067				2026-09-13
43161	Triplophysa gejiuensis	species	2357259	114439				2026-09-13
43162	Triplophysa gerzeensis	species	2357438	618068				2026-09-13
43163	Triplophysa gracilis	species	2357254	128460				2026-09-13
43164	Triplophysa grahami	species	2357404	114440				2026-09-13
43165	Triplophysa griffithii	species	2357394	133116				2026-09-13
